radius_m,viscosity_pa_s
6371000.0,5e+23
6348400.0,1.709e+23
6325800.0,6.246e+22
6303300.0,2.311e+22
6280700.0,9.276e+21
6258100.0,3.839e+21
6235500.0,1.638e+21
6213000.0,9.814e+20
6190400.0,4.731e+20
6167800.0,4.75e+20
6145200.0,4.774e+20
6122600.0,4.809e+20
6100100.0,4.854e+20
6077500.0,4.903e+20
6054900.0,4.955e+20
6032300.0,5.011e+20
6009800.0,5.069e+20
5987200.0,1.02e+21
5964600.0,1.534e+21
5942000.0,3.076e+21
5919400.0,3.087e+21
5896900.0,3.103e+21
5874300.0,3.121e+21
5851700.0,3.141e+21
5829100.0,3.161e+21
5806500.0,3.183e+21
5784000.0,3.206e+21
5761400.0,3.229e+21
5738800.0,3.255e+21
5716200.0,3.282e+21
5693700.0,6.615e+21
5671100.0,1.388e+22
5648500.0,2.795e+22
5625900.0,2.815e+22
5603300.0,2.837e+22
5580800.0,2.858e+22
5558200.0,2.88e+22
5535600.0,2.901e+22
5513000.0,2.922e+22
5490500.0,2.944e+22
5467900.0,2.965e+22
5445300.0,2.987e+22
5422700.0,3.009e+22
5400100.0,3.032e+22
5377600.0,3.056e+22
5355000.0,3.08e+22
5332400.0,3.105e+22
5309800.0,3.13e+22
5287200.0,3.156e+22
5264700.0,3.182e+22
5242100.0,3.208e+22
5219500.0,3.236e+22
5196900.0,3.264e+22
5174400.0,3.293e+22
5151800.0,3.323e+22
5129200.0,3.353e+22
5106600.0,3.385e+22
5084000.0,3.417e+22
5061500.0,3.45e+22
5038900.0,3.484e+22
5016300.0,3.519e+22
4993700.0,3.555e+22
4971200.0,3.592e+22
4948600.0,3.63e+22
4926000.0,3.668e+22
4903400.0,3.707e+22
4880800.0,3.747e+22
4858300.0,3.788e+22
4835700.0,3.829e+22
4813100.0,3.871e+22
4790500.0,3.913e+22
4768000.0,3.955e+22
4745400.0,3.999e+22
4722800.0,4.043e+22
4700200.0,4.087e+22
4677600.0,4.133e+22
4655100.0,4.18e+22
4632500.0,4.228e+22
4609900.0,4.278e+22
4587300.0,4.329e+22
4564800.0,4.382e+22
4542200.0,4.436e+22
4519600.0,4.493e+22
4497000.0,4.551e+22
4474400.0,4.61e+22
4451900.0,4.672e+22
4429300.0,4.735e+22
4406700.0,4.801e+22
4384100.0,4.868e+22
4361500.0,4.938e+22
4339000.0,5.009e+22
4316400.0,5.083e+22
4293800.0,5.159e+22
4271200.0,5.236e+22
4248700.0,5.316e+22
4226100.0,5.397e+22
4203500.0,5.479e+22
4180899.9999999995,5.564e+22
4158300.0,5.649e+22
4135800.0,5.736e+22
4113200.0,5.823e+22
4090600.0,5.912e+22
4068000.0,6.002e+22
4045500.0,6.093e+22
4022900.0,6.185e+22
4000300.0,6.279e+22
3977700.0,6.374e+22
3955100.0,6.471e+22
3932600.0,6.568e+22
3910000.0,6.666e+22
3887400.0,6.763e+22
3864800.0,6.86e+22
3842200.0,6.955e+22
3819700.0,7.048e+22
3797100.0,7.137e+22
3774500.0,7.221e+22
3751900.0,7.297e+22
3729400.0,7.359e+22
3706800.0,7.401e+22
3684200.0,7.41e+22
3661600.0,7.363e+22
3639000.0,7.229e+22
3616500.0,6.953e+22
3593900.0,6.471e+22
3571300.0,5.696e+22
3548700.0,4.625e+22
3526200.0,3.314e+22
3503600.0,2.128e+22
3481000.0,1.25e+22
