radius_m,viscosity_pa_s
6371000.0,7e+23
6359700.0,5.318e+23
6348400.0,3.399e+23
6337100.0,2.473e+23
6325800.0,1.822e+23
6314600.0,1.207e+23
6303300.0,6.05e+22
6292000.0,2.666e+22
6280700.0,1.241e+22
6269400.0,5.841e+21
6258100.0,2.772e+21
6246800.0,1.412e+21
6235500.0,6.765e+20
6224200.0,3.248e+20
6213000.0,1.56e+20
6201700.0,6.014e+19
6190400.0,5.887e+19
6179100.0,5.843e+19
6167800.0,5.83e+19
6156500.0,5.836e+19
6145200.0,5.848e+19
6133900.0,5.866e+19
6122600.0,5.885e+19
6111400.0,5.906e+19
6100100.0,1.482e+20
6088800.0,2.977e+20
6077500.0,5.979e+20
6066200.0,6.003e+20
6054900.0,6.026e+20
6043600.0,6.049e+20
6032300.0,6.072e+20
6021000.0,6.096e+20
6009800.0,6.12e+20
5998500.0,6.145e+20
5987200.0,6.17e+20
5975900.0,6.195e+20
5964600.0,1.244e+21
5953300.0,2.813e+21
5942000.0,4.71e+21
5930700.0,4.731e+21
5919400.0,4.753e+21
5908100.0,4.775e+21
5896900.0,4.797e+21
5885600.0,4.82e+21
5874300.0,4.842e+21
5863000.0,4.865e+21
5851700.0,4.889e+21
5840400.0,4.912e+21
5829100.0,4.936e+21
5817800.0,4.96e+21
5806500.0,4.984e+21
5795300.0,5.008e+21
5784000.0,5.032e+21
5772700.0,5.056e+21
5761400.0,5.08e+21
5750100.0,5.104e+21
5738800.0,5.128e+21
5727500.0,5.151e+21
5716200.0,1.035e+22
5704900.0,2.079e+22
5693700.0,2.61e+22
5682400.0,2.622e+22
5671100.0,2.633e+22
5659800.0,2.645e+22
5648500.0,2.657e+22
5637200.0,2.669e+22
5625900.0,2.681e+22
5614600.0,2.693e+22
5603300.0,2.706e+22
5592100.0,2.718e+22
5580800.0,2.731e+22
5569500.0,2.745e+22
5558200.0,2.758e+22
5546900.0,2.772e+22
5535600.0,2.785e+22
5524300.0,2.799e+22
5513000.0,2.813e+22
5501700.0,2.827e+22
5490500.0,2.84e+22
5479200.0,2.854e+22
5467900.0,2.868e+22
5456600.0,2.881e+22
5445300.0,2.895e+22
5434000.0,2.908e+22
5422700.0,2.921e+22
5411400.0,2.934e+22
5400100.0,2.947e+22
5388900.0,2.96e+22
5377600.0,2.974e+22
5366300.0,2.987e+22
5355000.0,3e+22
5343700.0,3.013e+22
5332400.0,3.027e+22
5321100.0,3.041e+22
5309800.0,3.054e+22
5298500.0,3.068e+22
5287200.0,3.081e+22
5276000.0,3.095e+22
5264700.0,3.109e+22
5253400.0,3.123e+22
5242100.0,3.137e+22
5230800.0,3.151e+22
5219500.0,3.166e+22
5208200.0,3.181e+22
5196900.0,3.195e+22
5185600.0,3.211e+22
5174400.0,3.226e+22
5163100.0,3.242e+22
5151800.0,3.257e+22
5140500.0,3.273e+22
5129200.0,3.29e+22
5117900.0,3.306e+22
5106600.0,3.323e+22
5095300.0,3.339e+22
5084000.0,3.356e+22
5072800.0,3.373e+22
5061500.0,3.39e+22
5050200.0,3.407e+22
5038900.0,3.425e+22
5027600.0,3.442e+22
5016300.0,3.459e+22
5005000.0,3.477e+22
4993700.0,3.495e+22
4982400.0,3.512e+22
4971200.0,3.53e+22
4959900.0,3.548e+22
4948600.0,3.566e+22
4937300.0,3.584e+22
4926000.0,3.602e+22
4914700.0,3.62e+22
4903400.0,3.639e+22
4892100.0,3.657e+22
4880800.0,3.675e+22
4869600.0,3.694e+22
4858300.0,3.712e+22
4847000.0,3.731e+22
4835700.0,3.749e+22
4824400.0,3.768e+22
4813100.0,3.787e+22
4801800.0,3.806e+22
4790500.0,3.826e+22
4779200.0,3.845e+22
4768000.0,3.865e+22
4756700.0,3.885e+22
4745400.0,3.905e+22
4734100.0,3.925e+22
4722800.0,3.946e+22
4711500.0,3.967e+22
4700200.0,3.988e+22
4688900.0,4.009e+22
4677600.0,4.031e+22
4666400.0,4.052e+22
4655100.0,4.074e+22
4643800.0,4.096e+22
4632500.0,4.119e+22
4621200.0,4.141e+22
4609900.0,4.164e+22
4598600.0,4.188e+22
4587300.0,4.211e+22
4576000.0,4.235e+22
4564800.0,4.259e+22
4553500.0,4.284e+22
4542200.0,4.309e+22
4530900.0,4.334e+22
4519600.0,4.36e+22
4508300.0,4.386e+22
4497000.0,4.412e+22
4485700.0,4.438e+22
4474400.0,4.465e+22
4463100.0,4.492e+22
4451900.0,4.518e+22
